City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Abbeville,2888,3,0,,0,2,1,22,3,16,3,0
Adairsville,4686,13,0,,0,1,12,52,15,31,6,0
Adel,5240,18,0,,5,5,8,189,64,121,4,0
Adrian,656,0,0,,0,0,0,2,0,2,0,0
Alapaha,646,5,0,,0,1,4,6,0,6,0,0
Albany,77365,749,8,,21,183,537,4661,1319,3169,173,19
Alma,3529,24,0,,2,8,14,208,45,158,5,
Alpharetta,63442,47,2,,2,23,20,1228,128,1074,26,2
Alto,1159,0,0,,0,0,0,28,16,10,2,
Americus,16190,231,0,,0,40,191,1246,605,613,28,1
Aragon,1233,3,0,,0,0,3,51,8,40,3,0
Arcade,1752,4,1,,0,0,3,35,4,29,2,
Arlington,1412,61,0,,0,3,58,124,52,71,1,
Ashburn,3814,40,2,,2,5,31,184,55,121,8,
Athens-Clarke County,120122,404,2,,37,125,240,4074,967,2912,195,18
Atlanta,451020,5517,84,,105,2363,2965,27528,5938,17158,4432,71
Attapulgus,441,0,0,,0,0,0,2,1,1,0,0
Austell,6820,40,0,,2,4,34,191,37,139,15,0
Bainbridge,12575,88,1,,1,7,79,568,128,430,10,
Baldwin,3289,3,0,,2,0,1,49,14,30,5,0
Ball Ground,1484,1,0,,0,0,1,12,4,8,0,0
Barnesville,6489,9,0,,0,2,7,327,41,275,11,
Baxley,4434,15,0,,0,2,13,289,84,201,4,0
Berlin,562,0,0,,0,0,0,0,0,0,0,0
Blackshear,3499,14,0,,3,3,8,150,27,118,5,0
Blairsville,549,0,0,,0,0,0,21,0,21,0,0
Blakely,4771,32,0,,0,4,28,205,57,143,5,0
Bloomingdale,2762,3,0,,1,0,2,62,18,39,5,
Blue Ridge,1262,3,0,,0,0,3,23,5,18,0,
Blythe,721,0,0,,0,0,0,14,5,8,1,0
Boston,1318,11,0,,1,1,9,48,11,36,1,0
Bowdon,2042,16,0,,0,0,16,73,13,58,2,0
Braselton,7973,13,0,,5,4,4,127,24,93,10,0
Braswell,382,0,0,,0,0,0,0,0,0,0,0
Bremen,6203,11,0,,2,1,8,173,21,145,7,0
Brooklet,1430,3,0,,0,0,3,11,5,6,0,0
Brunswick,15709,162,3,,4,38,117,1110,331,732,47,3
Buchanan,1162,5,0,,0,0,5,43,11,30,2,
Buena Vista,2188,8,0,,0,0,8,75,18,55,2,0
Butler,1899,5,0,,0,0,5,24,6,16,2,1
Byron,4772,8,0,,0,0,8,150,50,89,11,0
Cairo,9875,29,1,,8,7,13,222,43,172,7,1
Calhoun,15866,44,0,,7,7,30,784,104,662,18,0
Canton,24042,23,0,,1,11,11,406,59,326,21,
Carrollton,25164,124,1,,14,31,78,1090,147,895,48,3
Cartersville,19835,51,0,,3,8,40,927,164,718,45,
Cave Spring,1191,2,0,,0,0,2,18,3,12,3,0
Cedartown,9779,53,0,,2,21,30,920,211,689,20,0
Centerville,7644,19,0,,0,11,8,416,88,323,5,4
Chatsworth,4284,10,0,,0,1,9,162,27,127,8,
Chattahoochee Hills,2588,0,0,,0,0,0,39,15,14,10,
Chickamauga,3125,6,0,,0,0,6,68,12,52,4,
Clarkston,7790,67,0,,1,53,13,312,139,146,27,
Claxton,2643,8,1,,1,3,3,148,43,104,1,0
Clayton,2216,14,0,,0,0,14,97,28,64,5,
Cleveland,3739,14,0,,3,1,10,206,38,168,0,0
Climax,275,0,0,,0,0,0,0,0,0,0,0
Cochran,4782,14,0,,1,3,10,247,62,181,4,0
College Park,14871,324,4,,13,155,152,1664,402,993,269,5
Colquitt,1932,8,0,,0,2,6,69,19,49,1,0
Columbus,201165,1022,22,,36,481,483,12475,3355,8012,1108,37
Commerce,6476,24,0,,0,1,23,115,27,84,4,0
Conyers,15465,103,4,,7,34,58,1046,163,831,52,6
Coolidge,525,0,0,,0,0,0,4,3,1,0,0
Cordele,11358,87,0,,9,31,47,847,215,618,14,1
Cornelia,4170,6,0,,1,0,5,186,16,163,7,0
Covington,13416,47,1,,4,11,31,761,143,592,26,0
Cuthbert,3610,2,0,,0,2,0,55,19,36,0,0
Dalton,33475,66,0,,7,12,47,1319,201,1063,55,4
Danielsville,563,0,0,,0,0,0,22,1,19,2,0
Dawson,4352,30,0,,1,3,26,85,85,0,0,0
Decatur,20001,40,1,,0,28,11,690,127,528,35,0
